Date,Open,High,Low,Close,Volume_BTC,Volume_Currency,Weighted_Price
07-07-2012,6.6,6.79,6.56,6.79,1408.479823,9388.156163,6.665453073
08-07-2012,6.8,6.8,6.45,6.73,830.3709044,5483.56073,6.60374864
09-07-2012,6.77,6.99,6.55,6.94,1751.755528,11902.00874,6.794332059
10-07-2012,6.95,7.13,6.95,7.08,1495.144289,10504.39882,7.025675651
11-07-2012,7.08,7.15,7.04,7.14,751.6620754,5345.829365,7.112011553
12-07-2012,7.15,7.59,7.1,7.59,2325.837575,16706.65798,7.183071663
13-07-2012,7.6,7.69,7.46,7.59,1204.545737,9144.078773,7.591308897
14-07-2012,7.58,7.58,7.44,7.55,717.3146197,5408.067234,7.539323869
15-07-2012,7.55,7.57,7.4,7.57,322.3920825,2418.56413,7.501934014
16-07-2012,7.57,8.3,7.14,8.3,3680.082593,28112.91585,7.639207856
17-07-2012,8.3,8.8,7.7,8.55,3658.89689,30014.69177,8.20320787
18-07-2012,8.5,9.15,8.36,9,2613.84283,22817.78935,8.72959502
19-07-2012,9.06,9.2,8.76,8.76,2512.841399,22765.40769,9.059627756
20-07-2012,8.76,8.76,7.93,8.44,1378.665129,11284.56455,8.185138153
21-07-2012,8.52,8.91,8.2,8.74,2380.644659,20553.41878,8.633551715
22-07-2012,8.74,8.8,8.3,8.42,1483.547345,12717.96421,8.572671613
23-07-2012,8.42,8.88,8.1,8.59,2585.861621,22225.46712,8.594994774
24-07-2012,8.59,8.8,8.25,8.61,1298.898505,11148.28203,8.582873865
25-07-2012,8.59,8.64,8.24,8.64,1795.459774,15281.0642,8.510947683
26-07-2012,8.64,8.83,8.45,8.75,837.6785892,7224.829866,8.624823362
27-07-2012,8.76,8.91,8.76,8.83,687.4967153,6094.415863,8.864647244
28-07-2012,8.83,9,8.78,8.88,1498.926032,13347.62576,8.904792811
29-07-2012,8.79,8.79,8.7,8.71,590.3706616,5154.722392,8.731332241
30-07-2012,8.7,9,8.54,9,2423.613506,21078.35347,8.69707708
31-07-2012,9,9.28,8.92,9.28,1324.425751,12141.47605,9.167351241
01-08-2012,9.28,9.5,8.9,9.45,2419.606073,22568.95115,9.327531205
02-08-2012,9.45,10.52,9.4,10.44,2209.709261,21163.18741,9.577362862
03-08-2012,10.4,12,10.1,10.79,2419.413431,26081.29383,10.78000704
04-08-2012,10.96,11.2,10.5,10.51,635.3683814,6829.387341,10.74870507
05-08-2012,10.93,10.93,10.29,10.71,1906.761907,19934.33924,10.45455081
06-08-2012,10.71,10.99,10.43,10.84,2070.078121,22226.74578,10.73715313
07-08-2012,10.86,10.87,10.72,10.75,1039.03555,11186.18622,10.76593214
08-08-2012,10.75,11.04,10.7,10.99,2746.094619,29919.44663,10.89527157
09-08-2012,11,12.49,10.79,11,2432.994733,27273.43404,11.20982042
10-08-2012,11,11.5,10.9,11.32,2554.439056,28345.94411,11.09673924
11-08-2012,11.32,11.4,11.25,11.38,358.816927,4060.036183,11.31506314
12-08-2012,11.4,11.69,11.34,11.49,838.4326301,9613.449105,11.46597682
13-08-2012,11.42,11.98,11.4,11.89,3499.585971,40698.51593,11.62952311
14-08-2012,11.9,12.3,11.81,12.25,1925.973149,23207.39139,12.04969623
15-08-2012,12.13,13.2,12.13,13.01,1592.267794,19913.77848,12.50655107
16-08-2012,13.14,13.5,12.75,13.42,1529.329074,20345.70071,13.30367745
17-08-2012,13.49,16.41,11.5,12.5,4868.278865,69361.30686,14.24760347
18-08-2012,12.64,12.99,11.11,11.54,2511.367218,29197.87221,11.62628548
19-08-2012,11.86,11.86,7.1,8.06,5427.251526,48723.00052,8.977472352
20-08-2012,8.09,10.33,7.86,10.05,3382.499653,30656.23609,9.063189723
21-08-2012,9.79,10.51,9.53,10.18,3384.919443,34338.99975,10.14470221
22-08-2012,9.99,10.71,9.75,9.96,8193.331295,84387.94757,10.29958933
23-08-2012,9.96,10.19,9.78,10.02,2710.255412,27095.00128,9.997213237
24-08-2012,10.03,10.51,9.83,10.37,4170.89274,42191.81915,10.11577659
25-08-2012,10.45,10.58,10.14,10.57,581.2712284,6046.296726,10.40185103
26-08-2012,10.57,10.62,10.2,10.31,1412.063545,14794.87807,10.47748745
27-08-2012,10.31,11.93,10.31,10.78,4283.774476,47639.93857,11.12101929
28-08-2012,10.9,11.21,10.63,11,2970.101213,32516.00898,10.94777809
29-08-2012,11,11.05,10.49,10.78,4768.860111,51406.94695,10.77971376
30-08-2012,10.81,10.91,10.51,10.65,1513.88397,16231.94495,10.72205352
31-08-2012,10.65,10.8,9.69,10.16,2915.129257,30015.31234,10.29639158
01-09-2012,10.2,10.2,9.85,9.91,665.2020458,6629.27029,9.965799611
02-09-2012,10.07,10.18,9.49,10.18,1340.451822,13291.45689,9.915654315
03-09-2012,10.17,10.55,9.95,10.55,1166.651014,12047.29363,10.32639023
04-09-2012,10.36,10.5,10.14,10.36,2649.659909,27351.46849,10.32263363
05-09-2012,10.38,10.99,10.12,10.99,1870.389031,19601.41586,10.47986036
06-09-2012,10.9,11.15,10.68,11.02,3296.232115,35837.38667,10.87222787
07-09-2012,11.03,11.1,10.83,11.03,1351.770112,14879.13098,11.007146
08-09-2012,10.98,11.11,10.3,10.97,1355.12941,14748.68677,10.88360024
09-09-2012,10.97,11.04,10.84,10.98,1216.124719,13256.25616,10.90040845
10-09-2012,10.85,11.08,10.74,10.95,2492.060908,27171.81441,10.90335084
11-09-2012,10.95,11.04,10.38,11.04,4794.963589,51749.35332,10.79243927
12-09-2012,11.04,11.14,10.75,11.14,2414.687533,26603.77909,11.0174831
13-09-2012,11.17,11.42,10.98,11.3,2138.980773,24097.66734,11.2659579
14-09-2012,11.26,11.7,11.05,11.5,2127.294354,24113.83863,11.33544993
15-09-2012,11.6,11.65,11.35,11.63,594.7939548,6868.334355,11.54741789
16-09-2012,11.63,11.8,11.53,11.75,1287.406252,15018.68289,11.66584585
17-09-2012,11.75,11.88,11.58,11.85,689.9409029,8097.339385,11.73627966
18-09-2012,11.85,12.28,11.67,11.91,3735.017729,44344.02281,11.87250665
19-09-2012,11.9,12.5,11.9,12.32,1251.583482,15406.22561,12.30938714
20-09-2012,12.44,12.66,12.28,12.28,767.9339103,9544.7772,12.4291649
21-09-2012,12.29,12.35,12.01,12.19,1990.390172,24224.41047,12.17068433
22-09-2012,12.14,12.25,11.97,11.97,818.0470257,9870.666028,12.06613522
23-09-2012,12.11,12.11,11.79,11.99,1084.462743,12907.57943,11.90228019
24-09-2012,11.99,11.99,11.69,11.9,1523.19954,18068.24689,11.86203541
25-09-2012,11.9,12.18,11.56,11.75,3057.44986,36342.38724,11.8865031
26-09-2012,11.8,12.2,11.53,12.2,3038.105097,36547.16472,12.02959198
27-09-2012,12.2,12.38,11.84,12.22,3306.145463,40040.3085,12.11087321
28-09-2012,12.21,12.28,11.53,12.28,2842.622878,34197.62398,12.03030632
29-09-2012,12.28,12.28,12.12,12.28,584.1540614,7132.499683,12.20996335
30-09-2012,12.2,12.28,12.17,12.22,173.2142458,2111.592693,12.19064104
01-10-2012,12.21,12.27,11.6,12.14,3151.927758,37889.91871,12.02118882
02-10-2012,12.2,12.7,12.14,12.64,4634.41771,57712.67964,12.45305953
03-10-2012,12.63,12.99,12.45,12.9,4948.455672,63268.33502,12.7854707
04-10-2012,12.9,12.9,12.51,12.57,3211.886001,40800.14183,12.70286113
05-10-2012,12.61,12.7,11.5,12.5,5459.560688,67349.98882,12.33615535
06-10-2012,12.51,12.6,12.06,12.39,1640.41685,20370.96776,12.4181654
07-10-2012,12.39,12.45,11.52,11.71,3262.847507,39134.37059,11.99393183
08-10-2012,11.7,11.99,10.42,11.62,2885.957812,31964.19009,11.07576485
09-10-2012,11.62,12.26,11.52,11.99,1933.939089,23092.58241,11.9406979
10-10-2012,11.85,12.25,11.79,12.24,2369.718361,28378.10685,11.97530783
11-10-2012,12.1,12.13,11.58,12.09,2349.860473,27788.03728,11.82539883
12-10-2012,11.95,12.1,11.81,11.9,735.7166072,8827.925293,11.9990839
13-10-2012,11.9,12,11.81,11.85,486.6159066,5796.152144,11.91114401
14-10-2012,11.85,11.9,11.79,11.79,336.2176475,3981.403016,11.84174313
15-10-2012,11.78,11.84,11.03,11.66,3425.958007,39335.86222,11.48171173
16-10-2012,11.8,11.94,11.17,11.92,1004.499677,11660.43211,11.60819897
17-10-2012,11.79,11.97,11.15,11.88,3020.890537,35317.85113,11.69120519
18-10-2012,11.9,11.9,11.55,11.8,1277.754257,15057.09636,11.78403146
19-10-2012,11.75,11.84,11.5,11.67,10149.00153,118964.5983,11.72180317
20-10-2012,11.65,11.7,11.53,11.6,704.855011,8193.045065,11.62373103
21-10-2012,11.6,11.68,11.29,11.32,2048.260327,23455.96945,11.45165443
22-10-2012,11.54,11.57,11.27,11.49,1913.118006,21966.437,11.48200839
23-10-2012,11.5,11.7,11.25,11.58,2717.110053,31250.19419,11.50126185
24-10-2012,11.38,11.62,11.01,11.4,3180.176965,36136.82056,11.3631477
25-10-2012,11.39,11.39,10.4,10.55,3077.540636,33904.38596,11.01671431
26-10-2012,10.46,10.84,9.68,10,2384.646512,24712.71001,10.36325924
27-10-2012,10,10.75,9.5,10.43,1989.477513,19869.37046,9.987230481
28-10-2012,10.35,10.75,10.3,10.54,972.3192864,10231.22261,10.52249271
29-10-2012,10.67,10.8,10.32,10.8,2655.790811,28198.08294,10.61758435
30-10-2012,10.8,10.81,10.43,10.8,2780.314698,29649.72918,10.66416302
31-10-2012,10.79,11,10.66,11,3057.679498,33152.61968,10.84241161
01-11-2012,11,11.05,10.63,10.85,1726.988321,18852.23493,10.91624923
02-11-2012,10.85,10.96,10.45,10.67,2477.449542,26465.31004,10.68248196
03-11-2012,10.54,10.69,10.41,10.66,1572.814661,16586.0985,10.54548823
04-11-2012,10.67,10.68,10.4,10.64,2010.406233,21126.72855,10.50868636
05-11-2012,10.63,10.8,10.5,10.78,5531.261206,58624.90619,10.59883162
06-11-2012,10.78,10.8,10.51,10.74,3348.912811,35648.69781,10.64485695
07-11-2012,10.68,10.84,10.45,10.8,4027.999483,43035.79533,10.68416108
08-11-2012,10.65,10.83,10.25,10.81,2930.399499,31006.3416,10.58092646
09-11-2012,10.69,10.84,10.61,10.8,2342.580384,25223.15767,10.76725386
10-11-2012,10.8,10.87,10.63,10.81,1074.44382,11581.04344,10.77864028
11-11-2012,10.82,10.85,10.64,10.82,650.6784333,6980.575826,10.72814999
12-11-2012,10.78,10.92,10.72,10.87,1146.317733,12439.30644,10.85153451
13-11-2012,10.92,10.99,10.76,10.87,2565.613779,27984.97848,10.90771289
14-11-2012,10.87,10.98,10.74,10.97,1294.563007,14128.30449,10.91357038
15-11-2012,10.98,11.05,10.81,11.05,2452.656808,26917.72245,10.97492416
16-11-2012,11.05,11.6,10.96,11.46,7094.45117,79249.74067,11.17066546
17-11-2012,11.48,11.65,11.45,11.57,795.3504129,9174.525188,11.53519887
18-11-2012,11.56,11.65,11.32,11.51,1033.460701,11853.50919,11.46972418
19-11-2012,11.51,11.65,11.03,11.65,4206.617839,47845.29887,11.37381638
20-11-2012,11.6,11.69,11.44,11.65,2524.495746,29272.39917,11.59534502
21-11-2012,11.64,11.67,11.34,11.67,3449.380031,39721.62394,11.51558355
22-11-2012,11.67,12.12,11.55,11.88,10030.59752,118497.3329,11.81358665
